,Model,Compound,Train Accuracy,Test Accuracy
,Linear Regression,tbp_fe2o3,0.56940554376289,0.3757238401339714
,Linear Regression,tbp,0.5613474603168743,0.6203272965364924
,Partial Least Squares (n=2),tbp_fe2o3,0.5692649144207464,0.31984348822671527
,Partial Least Squares (n=2),tbp,0.5613406222146321,0.6195454668986434
,Partial Least Squares (n=3),tbp_fe2o3,0.56940554376289,0.37572384013397087
,Partial Least Squares (n=3),tbp,0.5613474603168744,0.6203272965364923
,Random Forest Regression (max_depth = 2),tbp_fe2o3,0.962736367600951,0.7582534529991345
,Random Forest Regression (max_depth = 2),tbp,0.9887240090608247,0.9225454386439389
,Random Forest Regression (max_depth = 5),tbp_fe2o3,0.9872298440930092,0.690666515139966
,Random Forest Regression (max_depth = 5),tbp,0.9997121063016741,0.926832237107435
,Random Forest Regression (max_depth = 7),tbp_fe2o3,0.9924706813171358,0.714562669667548
,Random Forest Regression (max_depth = 7),tbp,0.9999500177244958,0.9271016171234033
,Random Forest Regression (max_depth = 10),tbp_fe2o3,0.9952338102876327,0.7336049305718246
,Random Forest Regression (max_depth = 10),tbp,0.9999826887679258,0.9277386157783266
,SVR RBF Kernel,tbp_fe2o3,0.9147256033751606,0.7586294199138922
,SVR RBF Kernel,tbp,0.9142779136957417,0.9022576585840489
,Gradient Boost Regressor,tbp_fe2o3,0.9907682091231479,0.7385531990018128
,Gradient Boost Regressor,tbp,0.99979946896864,0.9632312860049882
